"species","period","threshold_current","top5_cells","top5_area_ha","delta_area_ha","delta_area_pct","notes"
"PFL","Early",0.0234418082982302,5935,120183.75,NA,NA,""
"PFL","Late",0.0235750377178192,5935,120183.75,0,0,""
