metric,code,name,est,est_ci,lo95,hi95,B
OA,NA,Overall,0.8583128583128583,0.8580982800982802,0.8386568386568387,0.8771498771498771,1000
UA,1,Forest,0.9738805970149254,0.9740324264200271,0.9548743531833386,0.9924819070147277,1000
UA,2,Agrocanopy,0.8317460317460318,0.8319340504034405,0.7902067320434668,0.8722758003579241,1000
UA,3,Paddy,0.88,0.8798569659475636,0.8246724766461608,0.9235294117647059,1000
UA,4,GrassScrub,0.6923076923076923,0.6914564682927969,0.6165413533834586,0.7676183915084711,1000
UA,5,Built,0.7375886524822695,0.7359807544677668,0.6611246978130095,0.8064569892473118,1000
UA,6,Water,0.9682539682539683,0.9674884475412585,0.9338827783179388,0.992593954248366,1000
UA,7,Rock,0.8679245283018868,0.8679551154973257,0.7798877551020409,0.9555797101449275,1000
PA,1,Forest,0.9422382671480144,0.9421022156430363,0.914179104477612,0.9672756916996047,1000
PA,2,Agrocanopy,0.9257950530035336,0.9266703584385143,0.8947368421052632,0.9565256631611992,1000
PA,3,Paddy,0.9112426035502958,0.9099113042575446,0.8653716216216216,0.9515151515151515,1000
PA,4,GrassScrub,0.61875,0.6167068495498979,0.5411744560838033,0.6888963963963963,1000
PA,5,Built,0.697986577181208,0.6974940530851506,0.6235716557133771,0.766705298013245,1000
PA,6,Water,0.991869918699187,0.9918203496828648,0.9734513274336283,1,1000
PA,7,Rock,0.7666666666666667,0.7672894378441979,0.6607058625336927,0.8688702779757662,1000
