base7_code,notes,N
1,Image Interpetation,817
2,Image Interpetation,676
2,GoogleEarthImagery 2004-06,142
2,Seed,91
3,Image Interpetation,496
4,Image Interpetation,534
5,GoogleEarthImagery 2004-06,171
5,Image Interpetation,169
5,Seed,2
6,GoogleEarthImagery 2004-06,229
6,Image Interpetation,68
6,Seed,43
7,GoogleEarthImagery 2004-06,180
7,Image Interpetation,9
7,Seed,2
