"species","period","threshold_current","top5_cells","top5_area_ha","delta_area_ha","delta_area_pct","notes"
"GEN","Early",0.023527305573225,5935,120183.75,NA,NA,""
"GEN","Late",0.0235024690628052,5935,120183.75,0,0,""
