Pred,Ref,n
1,1,261
2,1,14
3,1,0
4,1,1
5,1,1
6,1,0
7,1,0
1,2,3
2,2,262
3,2,4
4,2,11
5,2,3
6,2,0
7,2,0
1,3,0
2,3,8
3,3,154
4,3,3
5,3,2
6,3,2
7,3,0
1,4,0
2,4,17
3,4,9
4,4,99
5,4,27
6,4,2
7,4,6
1,5,0
2,5,13
3,5,4
4,5,27
5,5,104
6,5,0
7,5,1
1,6,0
2,6,0
3,6,1
4,6,0
5,6,0
6,6,122
7,6,0
1,7,4
2,7,1
3,7,3
4,7,2
5,7,4
6,7,0
7,7,46
