"species","period","from_id","to_id","area_i_ha","area_j_ha","length_km","cost_mean","cost_max"
"GEN","Early",1,2,11.5278746578348,7.11487920845164,0.859705627484771,197.575651245117,256.084381103516
"GEN","Early",2,12,7.11487920845164,42.8694433126864,0.754264068711929,147.3578723526,232.734115600586
"GEN","Early",4,55,58.8998534728578,6.4844016719935,0.89095454429505,84.8118463897705,176.277252197266
"GEN","Early",6,54,492.898228422113,15.4003930986247,2.55941125496954,127.321382369995,272.580596923828
"GEN","Early",8,31,11.6180089689062,11.7981349260139,0.702426406871193,92.6328496551514,199.293685913086
"GEN","Early",11,55,256.494921651751,6.4844016719935,1.02426406871193,77.1594928359985,153.0302734375
"GEN","Early",21,123,735.002032537959,9.27639494601295,2.61036579926459,80.203104133606,151.74919128418
"GEN","Early",6,35,492.898228422113,30.6200101055225,3.44183766184073,115.018164367676,388.77734375
"GEN","Early",54,70,15.4003930986247,19.3630940882702,0.6539696961967,93.859095916748,143.309951782227
"GEN","Early",59,220,11.9775652728213,8.91559553234278,3.33764501987817,700.177677955627,1484.09912109375
"GEN","Early",61,67,43.2307147637355,24.4074367887974,1.43183766184073,97.5577418899536,207.452865600586
"GEN","Early",74,122,41.9687977918203,8.73601293475691,0.841248916810278,87.1279047393799,152.642044067383
"GEN","Early",61,75,43.2307147637355,7.2951407540795,2.15610173055266,267.966655960083,715.10693359375
"GEN","Early",87,153,1862.99501527955,7.11508042991331,3.69712770159707,72.3905132293701,189.560913085938
"GEN","Early",92,120,8.28512327437087,13.5082897648416,1.31610173055266,179.121263465881,339.394561767578
"GEN","Early",70,102,19.3630940882702,6.93467397899151,0.791543289325507,130.436642379761,256.839965820312
"GEN","Early",120,121,13.5082897648416,965.664714825285,2.10124891681028,67.9529641723633,152.364562988281
"GEN","Early",122,123,8.73601293475691,9.27639494601295,0.392132034355964,128.64307144165,206.634872436523
"GEN","Early",135,147,9.27634334167035,21.0743966513676,0.554558441227157,110.457347068787,197.821868896484
"GEN","Early",137,147,24.1364181509371,21.0743966513676,0.969411254969543,89.9129037475586,181.556991577148
"GEN","Early",137,140,24.1364181509371,155.895359872467,1.53338095116624,92.2655358123779,223.217880249023
"GEN","Early",67,153,24.4074367887974,7.11508042991331,1.63970562748477,283.627128753662,627.531005859375
"GEN","Early",171,755,26674.2662085664,39.2677708229812,4.79043722601395,86.7538354492188,323.866729736328
"GEN","Early",147,172,21.0743966513676,76.7322515188347,1.13095454429505,97.8078456497192,200.808013916016
"GEN","Early",120,183,13.5082897648416,6.7540939443788,2.12521861300698,370.741988886958,793.747985839844
"GEN","Early",201,526,3318.59365613895,6.21459142772969,1.83426406871193,138.410973243713,395.936737060547
"GEN","Early",220,258,8.91559553234278,9.90622561970975,0.98698484809835,161.874224853516,349.525604248047
"GEN","Early",248,318,134.370807398117,5.40362962055749,1.23213203435596,158.354294624329,305.149139404297
"GEN","Early",253,344,45.2969848682221,11.6168939642648,1.17124891681028,99.5191439819336,196.183456420898
"GEN","Early",258,292,9.90622561970975,9.54602072749672,0.664264068711929,91.4964233779907,200.660598754883
"GEN","Early",340,659,2053.2473177716,38.9032834373743,3.2274220741123,134.198267021179,357.562927246094
"GEN","Early",344,393,11.6168939642648,5.13304992574208,0.872132034355964,161.916549453735,297.617950439453
"GEN","Early",384,431,13.2384472545009,13.8689074172825,1.3979393923934,120.368053283691,318.643737792969
"GEN","Early",408,557,136.168111360241,24.4057684461598,1.22183766184074,81.4378470611572,171.394271850586
"GEN","Early",413,456,11.9768935035071,34.8501423626212,1.36367532368147,143.05398147583,359.724487304688
"GEN","Early",506,570,60.4358003705304,125.735447514688,1.49095454429505,131.151268310547,307.953186035156
"GEN","Early",509,545,5.2237855366405,7.29530072227147,0.8639696961967,268.904179382324,468.815643310547
"GEN","Early",526,554,6.21459142772969,616.146467884766,1.7279393923934,81.362766532898,215.457626342773
"GEN","Early",529,547,10.537268019322,39.0868980110868,0.616690475583121,94.3897092437744,148.757385253906
"GEN","Early",318,538,5.40362962055749,8.82591457501239,3.7739696961967,642.925396270752,1353.23876953125
"GEN","Early",579,614,5.22369938310261,14.7704250582495,0.916690475583121,111.925437164307,223.322677612305
"GEN","Early",612,674,11.6174322824561,6.75433938801935,0.938528137423857,149.995897750854,345.315551757812
"GEN","Early",654,667,13.9582376498604,34.1302405901981,0.729411254969543,65.9925720977783,146.753845214844
"GEN","Early",659,667,38.9032834373743,34.1302405901981,1.2,102.102090187073,276.805053710938
"GEN","Early",684,931,726.576782901748,30.6231137973911,1.75492424049175,83.8550032806397,192.050521850586
"GEN","Early",674,722,6.75433938801935,29.358742243943,1.31095454429505,247.02340965271,537.138916015625
"GEN","Early",723,2731,33664.9101949651,16.1220982617902,3.45286363288514,104.398935394287,245.604248046875
"GEN","Early",733,765,6.03354154111676,8.28485582839838,0.434558441227157,78.2793965339661,159.416870117188
"GEN","Early",737,794,10.1764437594641,42.0566419439084,0.984852813742386,175.092831726074,340.5576171875
"GEN","Early",684,748,726.576782901748,5.31396910187979,2.84823376490863,244.372147216797,720.648315429688
"GEN","Early",614,755,14.7704250582495,39.2677708229812,2.05882250993908,167.379656715393,366.7587890625
"GEN","Early",760,857,8.91515934103442,10.0858598850696,1.18882250993909,233.612620429993,497.220642089844
"GEN","Early",667,768,34.1302405901981,6.75399590726072,0.946690475583121,122.275798149109,261.331878662109
"GEN","Early",783,1066,24.4977746120614,5.49398393453551,1.89213203435596,326.07253112793,696.132019042969
"GEN","Early",794,934,42.0566419439084,5.76365837407641,0.934264068711929,128.541782798767,239.728225708008
"GEN","Early",801,850,9.1855916514901,8.28504109583255,0.457279220613579,103.503694763184,160.718246459961
"GEN","Early",813,2232,32559.5613614357,55.5659543423629,2.51521861300697,99.0526940155029,276.828582763672
"GEN","Early",830,886,22.0638062825723,13.4183415292814,1.17639610306789,118.466767082214,235.219665527344
"GEN","Early",837,917,6.84394171222409,82.6677190568426,0.861837661840736,71.5634967041016,144.900192260742
"GEN","Early",849,857,5.58326419462258,10.0858598850696,0.792426406871193,115.812739562988,227.117858886719
"GEN","Early",968,1139,158.52221590728,7.20557259849134,1.50213203435596,95.0842525863647,191.206665039062
"GEN","Early",849,978,5.58326419462258,24.584412018283,1.13911688245431,170.48257522583,403.784576416016
"GEN","Early",978,979,24.584412018283,10.0859641575843,1.13485281374239,153.791021652222,317.351379394531
"GEN","Early",968,1017,158.52221590728,8.19627758136124,3.2279393923934,411.138977622986,1093.22583007812
"GEN","Early",1037,1053,10.446551259358,5.94371201445583,0.63,91.1992255783081,185.543701171875
"GEN","Early",1066,1142,5.49398393453551,210.032827726294,1.60279220613578,65.6663320922852,170.523071289062
"GEN","Early",917,1078,82.6677190568426,8.73502929316533,0.994264068711929,94.3106302261353,197.41227722168
"GEN","Early",934,1133,5.76365837407641,7.02450954625327,2.33433549546129,158.711551399231,375.900177001953
"GEN","Early",1139,1212,7.20557259849134,10.7183038498427,1.08852813742386,175.28179775238,352.302337646484
"GEN","Early",1291,1620,111.393401946913,6.39360592055363,2.42735064736294,337.613984375,778.466247558594
"GEN","Early",1319,1454,45.7554838883786,6.66516886848401,0.9,79.1197189331055,121.195289611816
"GEN","Early",1351,1539,12.3394471348429,20.7159452185375,2.98102597104441,500.660311851501,1106.55236816406
"GEN","Early",1381,1392,6.48437123945962,48.9923514930963,4.24492424049175,136.010544204712,477.379150390625
"GEN","Early",1392,1662,48.9923514930963,11.6176675675706,1.68727922061358,239.05620010376,465.668579101562
"GEN","Early",1401,1676,175.358001032877,8.73638682032039,1.62639610306789,61.929870262146,111.533271789551
"GEN","Early",1439,1528,14.5011945349429,7.02541949313433,0.736690475583121,125.069971008301,258.644897460938
"GEN","Early",1447,1598,22.0623062671305,7.92441629450995,1.11727922061358,188.33851436615,423.229278564453
"GEN","Early",1447,1498,22.0623062671305,20.3512203343495,1.43183766184073,145.241810417175,320.940460205078
"GEN","Early",1539,1636,20.7159452185375,8.73671791468971,0.816396103067893,134.001901931763,283.266662597656
"GEN","Early",1454,1549,6.66516886848401,9.00697980996346,1.19911688245431,182.079870223999,409.584625244141
"GEN","Early",1564,1636,420.801978515835,8.73671791468971,2.46036579926459,136.820825080872,491.884246826172
"GEN","Early",1582,1636,122.22417546452,8.73671791468971,1.11639610306789,93.1465327453613,191.720367431641
"GEN","Early",1598,1601,7.92441629450995,9.18514856947092,0.66,103.010599899292,165.709671020508
"GEN","Early",1620,1632,6.39360592055363,34.579594645251,0.7139696961967,119.794299697876,241.91650390625
"GEN","Early",1649,3099,24208.4518647198,23.6844617208948,8.47529003975633,61.5896548843384,161.238739013672
"GEN","Early",1632,1655,34.579594645251,5.67325559331358,1.54970562748477,202.575410995483,500.389404296875
"GEN","Early",1582,1657,122.22417546452,109.884865754993,1.33580735803743,80.8489956665039,178.041427612305
"GEN","Early",1662,1663,11.6176675675706,12.1580542393686,0.684852813742386,113.803703193665,236.005706787109
"GEN","Early",1663,1742,12.1580542393686,25.3967898833592,0.929116882454314,159.60116897583,211.46452331543
"GEN","Early",1862,2092,40.8914878338402,8.9168593694098,1.74639610306789,199.545742607117,506.665710449219
"GEN","Early",1742,1905,25.3967898833592,39.6262034419636,1.10485281374239,177.542377166748,363.094604492188
"GEN","Early",1932,2047,8.10631331869776,193.831108452639,1.97610173055266,146.940372161865,367.158233642578
"GEN","Early",1977,2135,5.0436866755333,6.21453357143172,1.51367532368147,262.963566970825,583.795349121094
"GEN","Early",2047,2205,193.831108452639,5.85455076315879,1.59,69.1770081710815,158.043609619141
"GEN","Early",2053,2191,5.49368150780942,10.7171774364004,1.18970562748477,83.2768301773071,168.708099365234
"GEN","Early",2092,2328,8.9168593694098,7.47574877754128,1.53213203435596,285.802896881103,590.274169921875
"GEN","Early",2139,2167,5.04315299071618,7.74483249259844,0.484264068711929,66.1318705749512,136.452133178711
