Pred,Ref,n
1,1,251
2,1,9
3,1,2
4,1,0
5,1,2
6,1,0
7,1,0
1,2,14
2,2,245
3,2,6
4,2,5
5,2,7
6,2,0
7,2,2
1,3,0
2,3,0
3,3,156
4,3,11
5,3,4
6,3,5
7,3,0
1,4,0
2,4,10
3,4,8
4,4,123
5,4,26
6,4,1
7,4,2
1,5,0
2,5,6
3,5,4
4,5,9
5,5,112
6,5,0
7,5,1
1,6,0
2,6,0
3,6,3
4,6,0
5,6,0
6,6,122
7,6,0
1,7,0
2,7,1
3,7,1
4,7,2
5,7,3
6,7,0
7,7,66
