metric,code,name,est,est_ci,lo95,hi95,B
OA,NA,Overall,0.881870385561936,0.8819327317473339,0.8646431501230517,0.8999179655455292,1000
UA,1,Forest,0.9471698113207547,0.9469743606518685,0.9192279411764704,0.972661877648305,1000
UA,2,Agrocanopy,0.9040590405904059,0.9038947086425603,0.8674116401659177,0.9409773284313725,1000
UA,3,Paddy,0.8666666666666667,0.866887214832667,0.8159501571895125,0.9152564792395301,1000
UA,4,GrassScrub,0.82,0.8207568348063742,0.7590950299874472,0.8837367505141591,1000
UA,5,Built,0.7272727272727273,0.7266177627167811,0.6516129032258065,0.7933121719993229,1000
UA,6,Water,0.953125,0.9540588104661806,0.9146315405461747,0.9849652115363035,1000
UA,7,Rock,0.9295774647887324,0.9285860964024027,0.86106220657277,0.9850801141352062,1000
PA,1,Forest,0.9507575757575758,0.9508025933670022,0.9239978260869566,0.9741814401839671,1000
PA,2,Agrocanopy,0.8781362007168458,0.8784062917707206,0.8402672746144721,0.9153692093347265,1000
PA,3,Paddy,0.8863636363636364,0.8859703957887597,0.8350301800117516,0.9322111885203285,1000
PA,4,GrassScrub,0.7235294117647059,0.7229817174947909,0.659050100452034,0.786985111662531,1000
PA,5,Built,0.8484848484848485,0.8488415207756129,0.7862459105779717,0.907172619047619,1000
PA,6,Water,0.976,0.975956858087219,0.9457364341085271,1,1000
PA,7,Rock,0.9041095890410958,0.9054801777729313,0.8333333333333334,0.964969801553063,1000
