metric,code,name,est,est_ci,lo95,hi95,B
OA,NA,Overall,0.8659450457951707,0.8655253955037469,0.8459616985845129,0.8850957535387177,1000
UA,1,Forest,0.9256198347107438,0.9252195886329595,0.8916007905138339,0.9545556920556921,1000
UA,2,Agrocanopy,0.9152542372881356,0.9148409017562112,0.8835616438356164,0.9463087248322147,1000
UA,3,Paddy,0.8910256410256411,0.8909953364845187,0.8381462524622986,0.9378539846299612,1000
UA,4,GrassScrub,0.7136150234741784,0.7125111816807371,0.653324200913242,0.7751196172248804,1000
UA,5,Built,0.7767857142857143,0.7779517259549876,0.6969474153297683,0.8543689320388349,1000
UA,6,Water,0.95,0.948404532193327,0.9076923076923077,0.9829059829059829,1000
UA,7,Rock,0.8571428571428571,0.8584080688581434,0.7636132511556241,0.9434028700504917,1000
PA,1,Forest,0.9372384937238494,0.9373356553497709,0.9067697439596106,0.9662944953262205,1000
PA,2,Agrocanopy,0.8881578947368421,0.8873174993651602,0.8511292033691249,0.920547378209199,1000
PA,3,Paddy,0.8580246913580247,0.8589375572459416,0.8025161277151723,0.9102192673476576,1000
PA,4,GrassScrub,0.8685714285714285,0.8682391814603708,0.8171284868977178,0.9183673469387755,1000
PA,5,Built,0.6170212765957447,0.6165944495501203,0.5374853187919463,0.6906889872717211,1000
PA,6,Water,0.95,0.9502518043073841,0.9083200354609929,0.984251968503937,1000
PA,7,Rock,0.9,0.8981193224209825,0.8163029827315542,0.9666666666666667,1000
