Pred,Ref,n
1,1,224
2,1,14
3,1,0
4,1,0
5,1,0
6,1,0
7,1,1
1,2,16
2,2,270
3,2,2
4,2,6
5,2,9
6,2,1
7,2,0
1,3,2
2,3,3
3,3,139
4,3,7
5,3,2
6,3,4
7,3,5
1,4,0
2,4,0
3,4,6
4,4,152
5,4,13
6,4,1
7,4,3
1,5,0
2,5,7
3,5,2
4,5,45
5,5,87
6,5,0
7,5,0
1,6,0
2,6,0
3,6,4
4,6,2
5,6,0
6,6,114
7,6,0
1,7,0
2,7,1
3,7,3
4,7,1
5,7,1
6,7,0
7,7,54
