class_code,class_name,pixel_count,pixel_prop_raw,pixel_prop_final,row_total_points,col_total_points,UA_row,contrib_to_OA
1,Forest,9472908,0.35725778,0.35725778,242,239,0.92561983,0.33068489
2,Agrocanopy,9015444,0.34000515,0.34000515,295,304,0.91525424,0.31119116
3,Paddy,3007290,0.11341583,0.11341583,156,162,0.89102564,0.10105642
4,GrassScrub,1840206,0.06940085,0.06940085,213,175,0.71361502,0.04952549
5,Built,1522358,0.05741365,0.05741365,112,141,0.77678571,0.0445981
6,Water,1324728,0.04996031,0.04996031,120,120,0.95,0.04746229
7,Rock,332676,0.01254642,0.01254642,63,60,0.85714286,0.01075407
NA,TOTAL/CHECKS,26515610,0.99999999,0.99999999,1201,1201,NA,0.89527242
