base7_code,notes,N
1,Image Interpetation,817
2,Image Interpetation,633
2,GoogleEarthImagery 2004-06,144
2,Seed,98
3,Image Interpetation,518
4,Image Interpetation,462
5,Image Interpetation,258
5,GoogleEarthImagery 2004-06,205
5,Seed,2
6,GoogleEarthImagery 2004-06,230
6,Image Interpetation,82
6,Seed,43
7,GoogleEarthImagery 2004-06,179
7,Image Interpetation,14
7,Seed,2
