code,metric,value,N_valid,name
1,PA,0.9422382671480144,277,Forest
1,UA,0.9738805970149254,277,Forest
2,PA,0.9257950530035336,283,Agrocanopy
2,UA,0.8317460317460318,283,Agrocanopy
3,PA,0.9112426035502958,169,Paddy
3,UA,0.88,169,Paddy
4,PA,0.61875,160,GrassScrub
4,UA,0.6923076923076923,160,GrassScrub
5,PA,0.697986577181208,149,Built
5,UA,0.7375886524822695,149,Built
6,PA,0.991869918699187,123,Water
6,UA,0.9682539682539683,123,Water
7,PA,0.7666666666666667,60,Rock
7,UA,0.8679245283018868,60,Rock
