pair,from,from_name,to,to_name,npx,area_ha
2010_2012__2016_2018,1,Forest,1,Forest,7940325,714629.25
2010_2012__2016_2018,1,Forest,2,Agrocanopy,1148233,103340.97
2010_2012__2016_2018,1,Forest,3,Paddy,223600,20124
2010_2012__2016_2018,1,Forest,4,GrassScrub,45667,4110.03
2010_2012__2016_2018,1,Forest,5,Built,34556,3110.04
2010_2012__2016_2018,1,Forest,6,Water,14912,1342.08
2010_2012__2016_2018,2,Agrocanopy,1,Forest,613592,55223.28
2010_2012__2016_2018,2,Agrocanopy,2,Agrocanopy,7229118,650620.62
2010_2012__2016_2018,2,Agrocanopy,3,Paddy,287231,25850.789999999997
2010_2012__2016_2018,2,Agrocanopy,4,GrassScrub,500231,45020.79
2010_2012__2016_2018,2,Agrocanopy,5,Built,337100,30339
2010_2012__2016_2018,2,Agrocanopy,6,Water,18262,1643.58
2010_2012__2016_2018,3,Paddy,1,Forest,69102,6219.179999999999
2010_2012__2016_2018,3,Paddy,2,Agrocanopy,617957,55616.13
2010_2012__2016_2018,3,Paddy,3,Paddy,1628996,146609.63999999998
2010_2012__2016_2018,3,Paddy,4,GrassScrub,395993,35639.369999999995
2010_2012__2016_2018,3,Paddy,5,Built,161594,14543.46
2010_2012__2016_2018,3,Paddy,6,Water,48989,4409.01
2010_2012__2016_2018,4,GrassScrub,1,Forest,519,46.71
2010_2012__2016_2018,4,GrassScrub,2,Agrocanopy,401654,36148.86
2010_2012__2016_2018,4,GrassScrub,3,Paddy,330463,29741.67
2010_2012__2016_2018,4,GrassScrub,4,GrassScrub,665743,59916.869999999995
2010_2012__2016_2018,4,GrassScrub,5,Built,416162,37454.58
2010_2012__2016_2018,4,GrassScrub,6,Water,8179,736.11
2010_2012__2016_2018,5,Built,1,Forest,1366,122.94
2010_2012__2016_2018,5,Built,2,Agrocanopy,637344,57360.96
2010_2012__2016_2018,5,Built,3,Paddy,67405,6066.45
2010_2012__2016_2018,5,Built,4,GrassScrub,439914,39592.26
2010_2012__2016_2018,5,Built,5,Built,360403,32436.27
2010_2012__2016_2018,5,Built,6,Water,2250,202.5
2010_2012__2016_2018,6,Water,1,Forest,6663,599.67
2010_2012__2016_2018,6,Water,2,Agrocanopy,28109,2529.81
2010_2012__2016_2018,6,Water,3,Paddy,95506,8595.539999999999
2010_2012__2016_2018,6,Water,4,GrassScrub,34824,3134.16
2010_2012__2016_2018,6,Water,5,Built,5603,504.27
2010_2012__2016_2018,6,Water,6,Water,1149618,103465.62
