Pred,Ref,n,pct_by_ref
1,1,224,0.9372384937238494
2,1,14,0.058577405857740586
3,1,0,0
4,1,0,0
5,1,0,0
6,1,0,0
7,1,1,0.0041841004184100415
1,2,16,0.05263157894736842
2,2,270,0.8881578947368421
3,2,2,0.006578947368421052
4,2,6,0.019736842105263157
5,2,9,0.029605263157894735
6,2,1,0.003289473684210526
7,2,0,0
1,3,2,0.012345679012345678
2,3,3,0.018518518518518517
3,3,139,0.8580246913580247
4,3,7,0.043209876543209874
5,3,2,0.012345679012345678
6,3,4,0.024691358024691357
7,3,5,0.030864197530864196
1,4,0,0
2,4,0,0
3,4,6,0.03428571428571429
4,4,152,0.8685714285714285
5,4,13,0.07428571428571429
6,4,1,0.005714285714285714
7,4,3,0.017142857142857144
1,5,0,0
2,5,7,0.04964539007092199
3,5,2,0.014184397163120567
4,5,45,0.3191489361702128
5,5,87,0.6170212765957447
6,5,0,0
7,5,0,0
1,6,0,0
2,6,0,0
3,6,4,0.03333333333333333
4,6,2,0.016666666666666666
5,6,0,0
6,6,114,0.95
7,6,0,0
1,7,0,0
2,7,1,0.016666666666666666
3,7,3,0.05
4,7,1,0.016666666666666666
5,7,1,0.016666666666666666
6,7,0,0
7,7,54,0.9
