class_code,class_name,pixel_count,pixel_prop_raw,pixel_prop_final,row_total_points,col_total_points,UA_row,contrib_to_OA
1,Forest,9828849,0.37068132,0.37068132,228,229,0.93859649,0.34792018
2,Agrocanopy,8873250,0.33464223,0.33464223,317,315,0.93690852,0.31352916
3,Paddy,3464141,0.13064524,0.13064524,143,147,0.86713286999999994,0.11328678
4,GrassScrub,1693774,0.06387832,0.06387832,142,140,0.83098592,0.05308199
5,Built,1215660,0.04584692,0.04584692,86,91,0.69767442,0.03198622
6,Water,1263679,0.04765789,0.04765789,117,112,0.94871795,0.04521389
7,Rock,176278,0.00664808,0.00664808,70,69,0.88571429,0.0058883
NA,TOTAL/CHECKS,26515631,1,1,1103,1103,NA,0.91090652
