pair,from,from_name,to,to_name,npx,area_ha
2016_2018__2022_2024,1,Forest,1,Forest,7865787,707920.83
2016_2018__2022_2024,1,Forest,2,Agrocanopy,566828,51014.52
2016_2018__2022_2024,1,Forest,3,Paddy,91330,8219.699999999999
2016_2018__2022_2024,1,Forest,4,GrassScrub,8155,733.9499999999999
2016_2018__2022_2024,1,Forest,5,Built,67511,6075.99
2016_2018__2022_2024,1,Forest,6,Water,25182,2266.38
2016_2018__2022_2024,2,Agrocanopy,1,Forest,733712,66034.08
2016_2018__2022_2024,2,Agrocanopy,2,Agrocanopy,7485835,673725.15
2016_2018__2022_2024,2,Agrocanopy,3,Paddy,776817,69913.53
2016_2018__2022_2024,2,Agrocanopy,4,GrassScrub,344185,30976.649999999998
2016_2018__2022_2024,2,Agrocanopy,5,Built,674678,60721.02
2016_2018__2022_2024,2,Agrocanopy,6,Water,53084,4777.5599999999995
2016_2018__2022_2024,3,Paddy,1,Forest,70273,6324.57
2016_2018__2022_2024,3,Paddy,2,Agrocanopy,165620,14905.8
2016_2018__2022_2024,3,Paddy,3,Paddy,1997031,179732.78999999998
2016_2018__2022_2024,3,Paddy,4,GrassScrub,158366,14252.939999999999
2016_2018__2022_2024,3,Paddy,5,Built,131260,11813.4
2016_2018__2022_2024,3,Paddy,6,Water,113638,10227.42
2016_2018__2022_2024,4,GrassScrub,1,Forest,1175,105.75
2016_2018__2022_2024,4,GrassScrub,2,Agrocanopy,504424,45398.159999999996
2016_2018__2022_2024,4,GrassScrub,3,Paddy,379895,34190.549999999996
2016_2018__2022_2024,4,GrassScrub,4,GrassScrub,646675,58200.75
2016_2018__2022_2024,4,GrassScrub,5,Built,536631,48296.79
2016_2018__2022_2024,4,GrassScrub,6,Water,46010,4140.9
2016_2018__2022_2024,5,Built,1,Forest,1369,123.21
2016_2018__2022_2024,5,Built,2,Agrocanopy,302503,27225.27
2016_2018__2022_2024,5,Built,3,Paddy,151387,13624.83
2016_2018__2022_2024,5,Built,4,GrassScrub,352605,31734.449999999997
2016_2018__2022_2024,5,Built,5,Built,500066,45005.939999999995
2016_2018__2022_2024,5,Built,6,Water,10861,977.49
2016_2018__2022_2024,6,Water,1,Forest,3132,281.88
2016_2018__2022_2024,6,Water,2,Agrocanopy,1803,162.26999999999998
2016_2018__2022_2024,6,Water,3,Paddy,44909,4041.81
2016_2018__2022_2024,6,Water,4,GrassScrub,5815,523.35
2016_2018__2022_2024,6,Water,5,Built,120,10.799999999999999
2016_2018__2022_2024,6,Water,6,Water,1188442,106959.78
