class_code,class_name,pixel_count,pixel_prop_raw,pixel_prop_final,row_total_points,col_total_points,UA_row,contrib_to_OA
1,Forest,8667576,0.32688579,0.32688579,268,277,0.9738806,0.31834772
2,Agrocanopy,10102424,0.38099912,0.38099912,315,283,0.83174603,0.3168945
3,Paddy,2686204,0.10130651,0.10130651,175,169,0.88,0.08914973
4,GrassScrub,2147887,0.08100462,0.08100462,143,160,0.69230769,0.05608012
5,Built,1340187,0.05054332,0.05054332,141,149,0.73758865,0.03728018
6,Water,1244723,0.04694303,0.04694303,126,123,0.96825397,0.04545277
7,Rock,326609,0.01231761,0.01231761,53,60,0.86792453,0.01069076
NA,TOTAL/CHECKS,26515610,1,1,1221,1221,NA,0.87389578
