code,metric,value,N_valid,name
1,PA,0.9372384937238494,239,Forest
1,UA,0.9256198347107438,239,Forest
2,PA,0.8881578947368421,304,Agrocanopy
2,UA,0.9152542372881356,304,Agrocanopy
3,PA,0.8580246913580247,162,Paddy
3,UA,0.8910256410256411,162,Paddy
4,PA,0.8685714285714285,175,GrassScrub
4,UA,0.7136150234741784,175,GrassScrub
5,PA,0.6170212765957447,141,Built
5,UA,0.7767857142857143,141,Built
6,PA,0.95,120,Water
6,UA,0.95,120,Water
7,PA,0.9,60,Rock
7,UA,0.8571428571428571,60,Rock
