Pred,Ref,n,pct_by_ref
1,1,251,0.9507575757575758
2,1,9,0.03409090909090909
3,1,2,0.007575757575757576
4,1,0,0
5,1,2,0.007575757575757576
6,1,0,0
7,1,0,0
1,2,14,0.05017921146953405
2,2,245,0.8781362007168458
3,2,6,0.021505376344086023
4,2,5,0.017921146953405017
5,2,7,0.025089605734767026
6,2,0,0
7,2,2,0.007168458781362007
1,3,0,0
2,3,0,0
3,3,156,0.8863636363636364
4,3,11,0.0625
5,3,4,0.022727272727272728
6,3,5,0.028409090909090908
7,3,0,0
1,4,0,0
2,4,10,0.058823529411764705
3,4,8,0.047058823529411764
4,4,123,0.7235294117647059
5,4,26,0.15294117647058825
6,4,1,0.0058823529411764705
7,4,2,0.011764705882352941
1,5,0,0
2,5,6,0.045454545454545456
3,5,4,0.030303030303030304
4,5,9,0.06818181818181818
5,5,112,0.8484848484848485
6,5,0,0
7,5,1,0.007575757575757576
1,6,0,0
2,6,0,0
3,6,3,0.024
4,6,0,0
5,6,0,0
6,6,122,0.976
7,6,0,0
1,7,0,0
2,7,1,0.0136986301369863
3,7,1,0.0136986301369863
4,7,2,0.0273972602739726
5,7,3,0.0410958904109589
6,7,0,0
7,7,66,0.9041095890410958
