Pred,Ref,n,pct_by_ref
1,1,261,0.9422382671480144
2,1,14,0.05054151624548736
3,1,0,0
4,1,1,0.0036101083032490976
5,1,1,0.0036101083032490976
6,1,0,0
7,1,0,0
1,2,3,0.01060070671378092
2,2,262,0.9257950530035336
3,2,4,0.014134275618374558
4,2,11,0.038869257950530034
5,2,3,0.01060070671378092
6,2,0,0
7,2,0,0
1,3,0,0
2,3,8,0.047337278106508875
3,3,154,0.9112426035502958
4,3,3,0.01775147928994083
5,3,2,0.011834319526627219
6,3,2,0.011834319526627219
7,3,0,0
1,4,0,0
2,4,17,0.10625
3,4,9,0.05625
4,4,99,0.61875
5,4,27,0.16875
6,4,2,0.0125
7,4,6,0.0375
1,5,0,0
2,5,13,0.087248322147651
3,5,4,0.026845637583892617
4,5,27,0.18120805369127516
5,5,104,0.697986577181208
6,5,0,0
7,5,1,0.006711409395973154
1,6,0,0
2,6,0,0
3,6,1,0.008130081300813009
4,6,0,0
5,6,0,0
6,6,122,0.991869918699187
7,6,0,0
1,7,4,0.06666666666666667
2,7,1,0.016666666666666666
3,7,3,0.05
4,7,2,0.03333333333333333
5,7,4,0.06666666666666667
6,7,0,0
7,7,46,0.7666666666666667
