code,name,N_pred,N_ref,UA,PA,F1,OA,Kappa,BA,MacroF1
1,Forest,268,277,0.9739,0.9422,0.9578,NA,NA,NA,NA
2,Agrocanopy,315,283,0.8317,0.9258,0.8763,NA,NA,NA,NA
3,Paddy,175,169,0.88,0.9112,0.8953,NA,NA,NA,NA
4,GrassScrub,143,160,0.6923,0.6188,0.6535,NA,NA,NA,NA
5,Built,141,149,0.7376,0.698,0.7172,NA,NA,NA,NA
6,Water,126,123,0.9683,0.9919,0.9799,NA,NA,NA,NA
7,Rock,53,60,0.8679,0.7667,0.8142,NA,NA,NA,NA
NA,Overall,1221,1221,NA,NA,NA,0.8583,0.829,0.8364,0.842
