code,name,N_pred,N_ref,UA,PA,F1,OA,Kappa,BA,MacroF1
1,Forest,265,264,0.9472,0.9508,0.949,NA,NA,NA,NA
2,Agrocanopy,271,279,0.9041,0.8781,0.8909,NA,NA,NA,NA
3,Paddy,180,176,0.8667,0.8864,0.8764,NA,NA,NA,NA
4,GrassScrub,150,170,0.82,0.7235,0.7687,NA,NA,NA,NA
5,Built,154,132,0.7273,0.8485,0.7832,NA,NA,NA,NA
6,Water,128,125,0.9531,0.976,0.9644,NA,NA,NA,NA
7,Rock,71,73,0.9296,0.9041,0.9167,NA,NA,NA,NA
NA,Overall,1219,1219,NA,NA,NA,0.8819,0.8586,0.8811,0.8785
