code,name,N_pred,N_ref,UA,PA,F1,OA,Kappa,BA,MacroF1
1,Forest,242,239,0.9256,0.9372,0.9314,NA,NA,NA,NA
2,Agrocanopy,295,304,0.9153,0.8882,0.9015,NA,NA,NA,NA
3,Paddy,156,162,0.891,0.858,0.8742,NA,NA,NA,NA
4,GrassScrub,213,175,0.7136,0.8686,0.7835,NA,NA,NA,NA
5,Built,112,141,0.7768,0.617,0.6877,NA,NA,NA,NA
6,Water,120,120,0.95,0.95,0.95,NA,NA,NA,NA
7,Rock,63,60,0.8571,0.9,0.878,NA,NA,NA,NA
NA,Overall,1201,1201,NA,NA,NA,0.8659,0.8386,0.8599,0.8581
